Price,Close,High,Low,Open,Volume
Ticker,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS
Date,,,,,
2024-11-11,1041.949951171875,1062.9000244140625,1027.3499755859375,1044.0999755859375,316962
2024-11-12,1028.300048828125,1061.8499755859375,1015.9000244140625,1040.0,465129
2024-11-13,979.2000122070312,1027.949951171875,975.0499877929688,1024.6500244140625,652280
2024-11-14,989.5499877929688,1011.0,968.2999877929688,988.0,577725
2024-11-18,939.6500244140625,1016.7000122070312,890.0,999.0999755859375,895260
2024-11-19,966.4000244140625,999.9500122070312,946.1500244140625,946.1500244140625,931303
2024-11-21,926.9000244140625,965.2000122070312,925.0,965.0,509001
2024-11-22,935.4000244140625,941.7000122070312,917.0,928.0,491353
2024-11-25,994.1500244140625,1014.8499755859375,961.0,961.0,1032458
2024-11-26,1032.0999755859375,1039.75,993.0,994.4000244140625,960042
2024-11-27,1116.75,1130.0,1032.25,1036.050048828125,2151834
2024-11-28,1169.949951171875,1174.949951171875,1125.0,1127.4000244140625,1766686
2024-11-29,1150.0,1170.0,1132.050048828125,1169.949951171875,786403
2024-12-02,1151.8499755859375,1177.949951171875,1123.5,1147.949951171875,720806
2024-12-03,1152.199951171875,1166.5999755859375,1134.199951171875,1151.8499755859375,754518
2024-12-04,1215.800048828125,1225.0,1166.199951171875,1166.199951171875,2442257
2024-12-05,1222.699951171875,1225.5,1196.0,1222.1500244140625,620127
2024-12-06,1219.800048828125,1237.0,1202.0,1222.0,562163
2024-12-09,1216.5999755859375,1238.5,1210.0,1221.949951171875,419345
2024-12-10,1207.25,1220.550048828125,1191.050048828125,1216.5999755859375,385989
2024-12-11,1212.050048828125,1221.25,1192.050048828125,1200.0,334944
2024-12-12,1227.0,1241.9000244140625,1196.300048828125,1217.699951171875,962744
2024-12-13,1260.949951171875,1275.0,1210.4000244140625,1220.0,1272678
2024-12-16,1286.800048828125,1295.0,1261.300048828125,1273.4000244140625,975501
2024-12-17,1280.3499755859375,1297.800048828125,1266.5999755859375,1290.3499755859375,611604
2024-12-18,1268.0999755859375,1289.800048828125,1213.0999755859375,1280.3499755859375,951658
2024-12-19,1231.8499755859375,1245.0,1214.8499755859375,1219.8499755859375,648958
2024-12-20,1239.25,1276.0,1168.9000244140625,1229.9000244140625,1614304
2024-12-23,1212.800048828125,1256.9000244140625,1196.199951171875,1256.0,1000523
2024-12-24,1214.5999755859375,1229.949951171875,1203.0,1204.0,338984
2024-12-26,1188.8499755859375,1223.5,1181.5,1215.0,277683
2024-12-27,1199.949951171875,1218.0,1173.0,1188.8499755859375,379608
2024-12-30,1108.050048828125,1199.4000244140625,1083.9000244140625,1190.050048828125,1013081
2024-12-31,1122.8499755859375,1145.4000244140625,1108.050048828125,1108.050048828125,479637
2025-01-01,1133.699951171875,1139.75,1112.050048828125,1112.050048828125,193054
2025-01-02,1125.5,1159.9000244140625,1121.25,1130.0,510535
2025-01-03,1143.6500244140625,1170.5,1128.699951171875,1134.0,407002
2025-01-06,1132.1500244140625,1149.449951171875,1103.6500244140625,1143.6500244140625,712342
2025-01-07,1184.75,1188.699951171875,1113.1500244140625,1113.1500244140625,656341
2025-01-08,1181.8499755859375,1190.0,1158.8499755859375,1185.0,391882
2025-01-09,1203.25,1215.0,1167.0999755859375,1177.0,756049
2025-01-10,1200.449951171875,1206.949951171875,1150.550048828125,1191.0,613966
2025-01-13,1116.3499755859375,1186.449951171875,1091.9000244140625,1175.050048828125,833122
2025-01-14,1152.3499755859375,1159.0,1096.199951171875,1117.449951171875,593195
2025-01-15,1134.0,1165.0,1128.0999755859375,1159.4000244140625,273357
2025-01-16,1201.449951171875,1229.0,1140.0,1140.0,1213351
2025-01-17,1276.25,1289.5,1194.199951171875,1201.4000244140625,3192555
2025-01-20,1329.25,1345.800048828125,1283.0999755859375,1290.0,2979733
2025-01-21,1280.4000244140625,1340.8499755859375,1272.5,1335.25,1218981
2025-01-22,1217.0999755859375,1280.300048828125,1196.6500244140625,1276.0,1220946
2025-01-23,1290.699951171875,1303.25,1191.550048828125,1208.0,1706823
2025-01-24,1241.199951171875,1300.550048828125,1235.050048828125,1294.0,775369
2025-01-27,1204.550048828125,1218.75,1173.0999755859375,1215.5999755859375,870074
2025-01-28,1212.050048828125,1243.9000244140625,1136.5,1200.0,1399136
2025-01-29,1229.449951171875,1256.0,1208.050048828125,1218.5,828662
2025-01-30,1267.3499755859375,1292.0,1229.050048828125,1230.0,1153771
2025-01-31,1305.0,1325.0,1267.300048828125,1275.0,1928838
2025-02-03,1191.050048828125,1238.0,1133.550048828125,1228.3499755859375,2666199
